"Show.Name","Date.Year","Show.Type","Total.Gross","Number.Performances"
"548","Wonderful Town",2003,"Musical",3593059,41
"549","'Night Mother",2004,"Play",1534157,49
"550","42Nd Street '01",2004,"Musical",31605153,416
"551","700 Sundays",2004,"Play",4596526,22
"552","A Raisin In The Sun",2004,"Play",7941028,88
"553","After The Fall",2004,"Play",2998486,53
"554","Aida",2004,"Musical",21217751,288
"555","Anna In The Tropics",2004,"Play",1382229,64
"556","Assassins",2004,"Musical",6024383,101
"557","Avenue Q",2004,"Musical",23283859,416
"558","Barbara Cook'S Broadway",2004,"Special",438437,7
"559","Beauty And The Beast",2004,"Musical",30983333,417
"560","Bombay Dreams",2004,"Musical",21525489,275
"561","Brooklyn",2004,"Musical",4094566,77
"562","Cabaret 98",2004,"Musical",536433,8
"563","Caroline, Or Change",2004,"Musical",7527718,136
"564","Cat On A Hot Tin Roof 03",2004,"Play",3395622,80
"565","Chicago",2004,"Musical",26095531,416
"566","Dame Edna:  Back With A Vengeance",2004,"Play",2640489,36
"567","Democracy",2004,"Play",3108426,44
"568","Dracula, The Musical",2004,"Musical",5647520,149
"569","Drowning Crow",2004,"Play",1619255,54
"570","Fiddler On The Roof 04",2004,"Musical",28664658,348
"571","Forever Tango '04",2004,"Musical",2477612,114
"572","Frozen",2004,"Play",2252052,128
"573","Gem Of The Ocean",2004,"Play",1075271,24
"574","Golda'S Balcony",2004,"Play",6285655,404
"575","Good Vibrations",2004,"Musical",255720,0
"576","Gypsy '03",2004,"Musical",10672710,176
"577","Hairspray",2004,"Musical",44581703,415
"578","Henry Iv",2004,"Play",1602788,20
"579","I Am My Own Wife",2004,"Play",7784059,331
"580","Jumpers",2004,"Play",3957158,89
"581","King Lear",2004,"Play",2832254,33
"582","La Cage Aux Folles '04",2004,"Musical",3920872,20
"583","Laugh Whore",2004,"Play",1564320,59
"584","Little Shop Of Horrors",2004,"Musical",12740271,272
"585","Little Women",2004,"Musical",1472228,0
"586","Mamma Mia!",2004,"Musical",48097905,416
"587","Marc Salem'S Mind Games",2004,"Special",287897,30
"588","Match",2004,"Play",2333156,53
"589","Movin' Out",2004,"Musical",31357893,415
"590","Never Gonna Dance",2004,"Musical",2505084,56
"591","Pacific Overtures",2004,"Musical",2068233,29
"592","Prymate",2004,"Play",111855,5
"593","Reckless",2004,"Play",3004690,77
"594","Rent",2004,"Musical",17286416,415
"595","Sight Unseen",2004,"Play",2724614,70
"596","Sixteen Wounded",2004,"Play",509381,12
"597","Sly Fox",2004,"Play",8121077,173
"598","Taboo",2004,"Musical",1968732,48
"599","Take Me Out",2004,"Play",351023,9
"600","The Boy From Oz",2004,"Musical",30828464,280
"601","The Caretaker 03",2004,"Play",251623,8
"602","The Frogs",2004,"Musical",7691480,92
"603","The Good Body",2004,"Play",843035,40
"604","The Lion King",2004,"Musical",57963621,416
"605","The Phantom Of The Opera",2004,"Musical",30558522,416
"606","The Producers",2004,"Musical",52493473,415
"607","The Retreat From Moscow",2004,"Play",1508883,72
"608","The Rivals",2004,"Play",1095889,13
"609","Thoroughly Modern Millie",2004,"Musical",12050396,200
"610","Twelve Angry Men",2004,"Play",3830082,68
"611","Twentieth Century",2004,"Play",3869161,84
"612","Urinetown",2004,"Musical",931663,24
"613","Whoopi",2004,"Play",1407246,36
"614","Wicked",2004,"Musical",58830099,416
"615","Wonderful Town",2004,"Musical",23638730,416
"616","'Night Mother",2005,"Play",165921,8
"617","42Nd Street '01",2005,"Musical",1128583,8
"618","700 Sundays",2005,"Play",17077829,141
"619","A Naked Girl On The Appian Way",2005,"Play",3082541,69
"620","A Streetcar Named Desire 05",2005,"Play",4079447,73
"621","A Touch Of The Poet",2005,"Play",1843038,19
"622","Absurd Person Singular",2005,"Play",1816196,56
"623","After The Night And The Music",2005,"Play",1558313,38
"624","All Shook Up",2005,"Musical",14447491,213
"625","Avenue Q",2005,"Musical",23849155,416
"626","Beauty And The Beast",2005,"Musical",32261756,415
"627","Bombay Dreams",2005,"Musical",912090,9
"628","Brooklyn",2005,"Musical",6014034,207
"629","Brooklyn Boy",2005,"Play",2135668,62
"630","Chicago",2005,"Musical",25990911,415
"631","Chita Rivera: The Dancer'S Life",2005,"Musical",1306935,15
"632","Chitty Chitty Bang Bang",2005,"Musical",26231125,276
"633","Dame Edna:  Back With A Vengeance",2005,"Play",4381364,127
"634","Democracy",2005,"Play",3983251,129
"635","Dirty Rotten Scoundrels",2005,"Musical",35497900,338
"636","Doubt",2005,"Play",19723373,308
"637","Dracula, The Musical",2005,"Musical",462006,8
"638","Fiddler On The Roof 04",2005,"Musical",27196334,416
"639","Gem Of The Ocean",2005,"Play",1502259,48
"640","Glengarry Glen Ross '05",2005,"Play",8532405,137
"641","Golda'S Balcony",2005,"Play",217744,8
"642","Good Vibrations",2005,"Musical",5255346,94
"643","Hairspray",2005,"Musical",36242571,417
"644","In My Life",2005,"Musical",1557164,61
"645","Jackie Mason:  Freshly Squeezed",2005,"Play",2964688,172
"646","Jersey Boys",2005,"Musical",7299716,57
"647","Julius Caesar",2005,"Play",8543103,81
"648","La Cage Aux Folles '04",2005,"Musical",12460619,209
"649","Latinologues",2005,"Play",964460,85
"650","Laugh Whore",2005,"Play",264181,7
"651","Lennon",2005,"Musical",3596685,49
"652","Little Women",2005,"Musical",8321053,137
"653","Love / Life",2005,"Special",280480,8
"654","Mamma Mia!",2005,"Musical",49161427,415
"655","Mark Twain Tonight!",2005,"Play",617468,15
"656","Monty Python'S Spamalot",2005,"Musical",43594098,324
"657","Movin' Out",2005,"Musical",25519547,401
"658","On Golden Pond",2005,"Play",2947551,93
"659","Pacific Overtures",2005,"Musical",1701803,40
"660","Primo",2005,"Play",1952699,35
"661","Rent",2005,"Musical",20697651,409
"662","Seascape",2005,"Play",1181464,39
"663","Souvenir",2005,"Play",654642,52
"664","Steel Magnolias",2005,"Play",4139622,136
"665","Sweeney Todd 05",2005,"Musical",6162081,61
"666","Sweet Charity 05",2005,"Musical",17815660,270
"667","The 25Th Annual Putnam County Spelling Bee",2005,"Musical",14879356,272
"668","The Blonde In The Thunderbird",2005,"Play",191165,9
"669","The Color Purple",2005,"Musical",5717176,27
"670","The Constant Wife",2005,"Play",3365506,77
"671","The Glass Menagerie 05",2005,"Play",4573842,120
"672","The Light In The Piazza",2005,"Musical",18420507,288
"673","The Lion King",2005,"Musical",59917876,416
"674","The Odd Couple 05",2005,"Play",10227304,68
"675","The Phantom Of The Opera",2005,"Musical",37556566,415
"676","The Pillowman",2005,"Play",8946186,185
"677","The Producers",2005,"Musical",42701058,417
"678","The Rivals",2005,"Play",1179263,32
"679","The Woman In White",2005,"Musical",5952858,44
"680","Twelve Angry Men",2005,"Play",5495487,160
"681","Who'S Afraid Of Virginia Woolf?",2005,"Play",6574830,177
"682","Whoopi",2005,"Play",1177043,36
"683","Wicked",2005,"Musical",66421803,416
"684","Wonderful Town",2005,"Musical",2598466,40
"685","A Chorus Line '06",2006,"Musical",11679735,101
"686","A Touch Of The Poet",2006,"Play",1766608,39
"687","Avenue Q",2006,"Musical",21840573,424
"688","Awake And Sing!",2006,"Play",3384141,80
"689","Barefoot In The Park",2006,"Play",4501355,109
"690","Beauty And The Beast",2006,"Musical",35340286,426
"691","Bridge And Tunnel",2006,"Play",6135555,213
"692","Butley",2006,"Play",4792687,78
"693","Chicago",2006,"Musical",29019928,424
"694","Chita Rivera: The Dancer'S Life",2006,"Musical",2256485,57
"695","Chitty Chitty Bang Bang",2006,"Musical",1278380,9
"696","Company 06",2006,"Musical",4218107,38
"697","Dirty Rotten Scoundrels",2006,"Musical",22535965,289
"698","Doubt",2006,"Play",7933100,217
"699","Dr. Seuss' How The Grinch Stole Christmas!",2006,"Musical",12625216,95
"700","Faith Healer",2006,"Play",7583448,117
"701","Festen",2006,"Play",1853946,49
"702","Fiddler On The Roof 04",2006,"Musical",1774892,17
"703","Grey Gardens",2006,"Musical",5676299,68
"704","Hairspray",2006,"Musical",34037825,424
"705","Heartbreak House",2006,"Play",3177764,79
"706","High Fidelity",2006,"Musical",1096116,14
"707","Hot Feet",2006,"Musical",3766746,97
"708","Jay Johnson: The Two And Only",2006,"Play",587011,70
"709","Jersey Boys",2006,"Musical",56104793,424
"710","Kiki & Herb: Alive On Broadway",2006,"Musical",619680,27
"711","Latinologues",2006,"Play",139812,8
"712","Les Miserables 2006",2006,"Musical",7075653,61
"713","Lestat",2006,"Musical",4630419,39
"714","Losing Louie",2006,"Play",1548011,53
"715","Mamma Mia!",2006,"Musical",50942794,425
"716","Martin Short: Fame Becomes Me",2006,"Musical",10220580,157
"717","Mary Poppins",2006,"Musical",11712677,53
"718","Monty Python'S Spamalot",2006,"Musical",52427822,425
"719","Rabbit Hole",2006,"Play",3203305,77
"720","Rent",2006,"Musical",24113411,425
"721","Ring Of Fire",2006,"Musical",2775120,57
"722","Seascape",2006,"Play",345279,16
"723","Shining City",2006,"Play",3217082,80
"724","Souvenir",2006,"Play",291293,16
"725","Spring Awakening",2006,"Musical",2044919,25
"726","Sweeney Todd 05",2006,"Musical",16056159,288
"727","Sweet Charity 05",2006,"Musical",838097,9
"728","Tarzan",2006,"Musical",27236455,270
"729","The 25Th Annual Putnam County Spelling Bee",2006,"Musical",17619322,425
"730","The Apple Tree",2006,"Musical",1588120,20
"731","The Caine Mutiny Court-Martial",2006,"Play",945803,17
"732","The Coast Of Utopia",2006,"Play",3240131,16
"733","The Color Purple",2006,"Musical",53020197,425
"734","The Drowsy Chaperone",2006,"Musical",33712843,280
"735","The History Boys",2006,"Play",16775002,185
"736","The Lieutenant Of Inishmore",2006,"Play",3808107,142
"737","The Light In The Piazza",2006,"Musical",10356624,216
"738","The Lion King",2006,"Musical",59801174,416
"739","The Little Dog Laughed",2006,"Play",1929267,56
"740","The Odd Couple 05",2006,"Play",18711132,181
"741","The Pajama Game",2006,"Musical",8885204,129
"742","The Phantom Of The Opera",2006,"Musical",40790346,425
"743","The Producers",2006,"Musical",34580587,424
"744","The Threepenny Opera",2006,"Musical",5806155,77
"745","The Times They Are A-Changin'",2006,"Musical",2636161,28
"746","The Vertical Hour",2006,"Play",4073101,37
"747","The Wedding Singer",2006,"Musical",19995744,285
"748","The Woman In White",2006,"Musical",4492510,65
"749","Three Days Of Rain",2006,"Play",11427896,70
"750","Well",2006,"Play",1162288,52
"751","Wicked",2006,"Musical",74730244,424
"752","110 In The Shade",2007,"Musical",4971529,94
"753","A Bronx Tale",2007,"Play",2665870,53
"754","A Chorus Line '06",2007,"Musical",28802009,394
"755","A Moon For The Misbegotten 07",2007,"Play",5912588,71
"756","August: Osage County",2007,"Play",2273733,32
"757","Avenue Q",2007,"Musical",17594584,395
"758","Beauty And The Beast",2007,"Musical",23084199,240
"759","Butley",2007,"Play",631550,16
"760","Chicago",2007,"Musical",24757445,394
"761","Company 06",2007,"Musical",8094242,208
"762","Coram Boy",2007,"Play",1602370,30
"763","Curtains",2007,"Musical",30348356,303
"764","Cymbeline",2007,"Play",1849775,32
"765","Cyrano De Bergerac",2007,"Play",7192764,48
"766","Deuce",2007,"Play",5361739,121
"767","Dr. Seuss' How The Grinch Stole Christmas!",2007,"Musical",718568,12
"768","Dr. Seuss' How The Grinch Stole Christmas! 07",2007,"Musical",8912342,84
"769","Frost/Nixon",2007,"Play",9395227,137
"770","Grease 07",2007,"Musical",16130995,132
"771","Grey Gardens",2007,"Musical",11866681,239
"772","Hairspray",2007,"Musical",33730610,394
"773","Inherit The Wind 07",2007,"Play",6805286,100
"774","Is He Dead?",2007,"Play",897219,25
"775","Jersey Boys",2007,"Musical",59564334,394
"776","Journey'S End",2007,"Play",2514849,125
"777","Legally Blonde",2007,"Musical",29571648,259
"778","Les Miserables 2006",2007,"Musical",27186923,394
"779","Lovemusik",2007,"Musical",2494723,60
"780","Mamma Mia!",2007,"Musical",44154050,395
"781","Martin Short: Fame Becomes Me",2007,"Musical",621946,8
"782","Mary Poppins",2007,"Musical",56501042,416
"783","Mauritius",2007,"Play",2293948,61
"784","Monty Python'S Spamalot",2007,"Musical",37778560,394
"785","November",2007,"Play",670898,0
"786","Old Acquaintance",2007,"Play",1809462,61
"787","Prelude To A Kiss 2007",2007,"Play",1786550,61
"788","Pygmalion 07",2007,"Play",3558323,69
"789","Radio Golf",2007,"Play",1825735,64
"790","Rent",2007,"Musical",17973630,395
"791","Rock 'N' Roll",2007,"Play",3333455,43
"792","Spring Awakening",2007,"Musical",30925825,394
"793","Talk Radio",2007,"Play",4489013,121
"794","Tarzan",2007,"Musical",15486403,216
"795","The 25Th Annual Putnam County Spelling Bee",2007,"Musical",12368478,415
"796","The Apple Tree",2007,"Musical",3189403,79
"797","The Coast Of Utopia",2007,"Play",8522204,105
"798","The Color Purple",2007,"Musical",40780241,395
"799","The Drowsy Chaperone",2007,"Musical",29852245,394
"800","The Farnsworth Invention",2007,"Play",2279619,32
"801","The Homecoming 07",2007,"Play",897376,17
"802","The Lion King",2007,"Musical",57081062,394
"803","The Little Dog Laughed",2007,"Play",1416689,56
"804","The Little Mermaid",2007,"Musical",5353807,0
"805","The Phantom Of The Opera",2007,"Musical",35574288,394
"806","The Pirate Queen",2007,"Musical",9054539,85
"807","The Producers",2007,"Musical",8274311,128
"808","The Ritz",2007,"Play",3438536,69
"809","The Seafarer",2007,"Play",1174899,29
"810","The Vertical Hour",2007,"Play",3235774,80
"811","The Year Of Magical Thinking",2007,"Play",7293267,144
"812","Translations 06",2007,"Play",2141231,53
"813","Wicked",2007,"Musical",70476682,394
"814","Xanadu",2007,"Musical",8372855,200
"815","Young Frankenstein",2007,"Musical",18415000,61
"816","13",2008,"Musical",3577388,96
"817","A Bronx Tale",2008,"Play",2222302,58
"818","A Catered Affair",2008,"Musical",6453273,116
"819","A Chorus Line '06",2008,"Musical",13298678,264
"820","A Man For All Seasons",2008,"Play",3612196,73
"821","A Tale Of Two Cities",2008,"Musical",4655502,60
"822","All My Sons 08",2008,"Play",9610544,84
"823","American Buffalo",2008,"Play",739550,8
"824","August: Osage County",2008,"Play",23736230,407
"825","Avenue Q",2008,"Musical",15731064,415
"826","Billy Elliot: The Musical",2008,"Musical",13184041,52
"827","Boeing-Boeing",2008,"Play",13500650,271
"828","Cat On A Hot Tin Roof 08",2008,"Play",12603337,125
"829","Chicago",2008,"Musical",24848936,416
"830","Cirque Dreams: Jungle Fantasy",2008,"Special",5166140,70
"831","Come Back, Little Sheba",2008,"Play",2052427,58
"832","Cry Baby",2008,"Musical",4077104,68
"833","Curtains",2008,"Musical",13280012,208
"834","Cymbeline",2008,"Play",230226,8
"835","Cyrano De Bergerac",2008,"Play",905526,8
"836","Dividing The Estate",2008,"Play",2461596,43
"837","Dr. Seuss' How The Grinch Stole Christmas! 07",2008,"Musical",647223,12
"838","Equus",2008,"Play",9099127,108
"839","Glory Days",2008,"Musical",111283,1
"840","Grease 07",2008,"Musical",30574696,414
"841","Gypsy '08",2008,"Musical",29866095,316
"842","Hairspray",2008,"Musical",31229254,416
"843","In The Heights",2008,"Musical",34001301,336
"844","Irving Berlin'S White Christmas",2008,"Musical",8484299,46
"845","Is He Dead?",2008,"Play",1984831,80
"846","Jersey Boys",2008,"Musical",58871924,416
"847","Legally Blonde",2008,"Musical",26766478,336
"848","Les Liaisons Dangereuses 08",2008,"Play",3161855,77
"849","Les Miserables 2006",2008,"Musical",878076,8
"850","Liza'S At The Palace",2008,"Special",2472655,18
"851","Macbeth 08",2008,"Play",4105572,52
"852","Mamma Mia!",2008,"Musical",47580493,415
"853","Mary Poppins",2008,"Musical",42750255,416
"854","Monty Python'S Spamalot",2008,"Musical",32386698,416
"855","November",2008,"Play",10523748,205
"856","Pal Joey",2008,"Musical",2402482,13
"857","Passing Strange",2008,"Musical",5161374,165
"858","Rent",2008,"Musical",16997222,287
"859","Rock 'N' Roll",2008,"Play",3434040,80
"860","Shrek The Musical",2008,"Musical",5627138,17
"861","Slava'S Snowshow",2008,"Special",1071687,26
"862","South Pacific",2008,"Musical",35817950,309
"863","Speed The Plow '08",2008,"Play",5621146,76
"864","Spring Awakening",2008,"Musical",22458556,416
"865","Sunday In The Park With George '08",2008,"Musical",8812815,149
"866","The 25Th Annual Putnam County Spelling Bee",2008,"Musical",758360,24
"867","The 39 Steps",2008,"Play",11652952,356
"868","The Color Purple",2008,"Musical",4474952,63
"869","The Country Girl",2008,"Play",5949235,97
"870","The Farnsworth Invention",2008,"Play",2232916,72
"871","The Homecoming 07",2008,"Play",3370330,120
"872","The Lion King",2008,"Musical",61014194,416
"873","The Little Mermaid",2008,"Musical",48980835,405
"874","The Phantom Of The Opera",2008,"Musical",39044221,412
"875","The Seafarer",2008,"Play",3337449,104
"876","The Seagull 08",2008,"Play",6430741,94
"877","Thurgood",2008,"Play",4613166,126
"878","Title Of Show",2008,"Musical",2188129,102
"879","To Be Or Not To Be",2008,"Play",1166048,40
"880","Top Girls",2008,"Play",2211556,63
"881","Wicked",2008,"Musical",75642334,416
"882","Xanadu",2008,"Musical",8753455,312
"883","Young Frankenstein",2008,"Musical",44778200,416
"884","33 Variations",2009,"Play",4380302,85
"885","9 To 5",2009,"Musical",15231411,148
"886","A Little Night Music",2009,"Musical",4154446,17
"887","A Steady Rain",2009,"Play",15168742,80
"888","Accent On Youth",2009,"Play",2028775,71
"889","After Miss Julie",2009,"Play",2534646,53
"890","All My Sons 08",2009,"Play",1419096,17
"891","August: Osage County",2009,"Play",6825643,209
"892","Avenue Q",2009,"Musical",11776450,296
"893","Billy Elliot: The Musical",2009,"Musical",67097098,416
"894","Blithe Spirit '09",2009,"Play",11603724,145
"895","Boeing-Boeing",2009,"Play",450913,8
"896","Brighton Beach Memoirs '09",2009,"Play",539369,9
"897","Burn The Floor",2009,"Musical",8127159,169
"898","Bye Bye Birdie",2009,"Musical",9240822,85
"899","Chicago",2009,"Musical",28866526,416
"900","Desire Under The Elms",2009,"Play",1381950,32
"901","Dividing The Estate",2009,"Play",335231,7
"902","Equus",2009,"Play",2863140,48
"903","Exit The King",2009,"Play",6703380,93
"904","Fela!",2009,"Musical",3883374,38
"905","Finian'S Rainbow",2009,"Musical",5810831,68
"906","God Of Carnage",2009,"Play",29290217,268
"907","Grease 07",2009,"Musical",768163,8
"908","Guys And Dolls '09",2009,"Musical",10220561,121
"909","Gypsy '08",2009,"Musical",1564205,16
"910","Hair",2009,"Musical",36751424,311
"911","Hairspray",2009,"Musical",921534,8
"912","Hamlet '09",2009,"Play",10010252,72
"913","Hedda Gabler 09",2009,"Play",2742238,74
"914","Impressionism",2009,"Play",2776558,56
"915","In The Heights",2009,"Musical",38849051,416
"916","In The Next Room Or The Vibrator Play",2009,"Play",1580950,44
"917","Irena'S Vow",2009,"Play",3070112,105
"918","Irving Berlin'S White Christmas",2009,"Musical",869936,7
"919","Irving Berlin'S White Christmas '09",2009,"Musical",6113646,44
"920","Jersey Boys",2009,"Musical",57377989,416
"921","Joe Turner'S Come And Gone '09",2009,"Play",3022226,69
"922","Liza'S At The Palace",2009,"Special",587196,4
"923","Mamma Mia!",2009,"Musical",47884773,416
"924","Mary Poppins",2009,"Musical",40646276,416
"925","Mary Stuart",2009,"Play",6088106,137
"926","Memphis",2009,"Musical",7709710,80
"927","Monty Python'S Spamalot",2009,"Musical",1880172,16
"928","Next To Normal",2009,"Musical",14726114,292
"929","Oleanna",2009,"Play",2177335,65
"930","Pal Joey",2009,"Musical",3172105,72
"931","Race",2009,"Play",3160124,25
"932","Ragtime '09",2009,"Musical",4695393,50
"933","Reasons To Be Pretty",2009,"Play",1936204,85
"934","Rock Of Ages",2009,"Musical",22403083,303
"935","Shrek The Musical",2009,"Musical",39347106,416
"936","Slava'S Snowshow",2009,"Special",363887,9
"937","Soul Of Shaolin",2009,"Special",1225360,21
"938","South Pacific",2009,"Musical",41558035,416
"939","Speed The Plow '08",2009,"Play",2855947,64
"940","Spring Awakening",2009,"Musical",2012534,24
"941","Superior Donuts",2009,"Play",3935948,101
"942","The 39 Steps",2009,"Play",9954948,399
"943","The American Plan",2009,"Play",2001797,70
"944","The Lion King",2009,"Musical",64088308,416
"945","The Little Mermaid",2009,"Musical",28658958,280
"946","The Norman Conquests",2009,"Play",4229582,109
"947","The Phantom Of The Opera",2009,"Musical",42452119,416
"948","The Philanthropist",2009,"Play",2463705,73
"949","The Royal Family",2009,"Play",2627586,77
"950","The Story Of My Life",2009,"Musical",264611,5
"951","Waiting For Godot",2009,"Play",6908255,84
"952","West Side Story",2009,"Musical",50717688,324
"953","Wicked",2009,"Musical",78272351,416
"954","Wishful Drinking",2009,"Play",4619175,97
"955","You'Re Welcome America. A Final Night With George W. Bush",2009,"Special",6723050,46
"956","Young Frankenstein",2009,"Musical",860000,8
"957","A Behanding In Spokane",2010,"Play",6848680,108
"958","A Free Man Of Color",2010,"Play",2304643,45
"959","A Life In The Theatre",2010,"Play",2583745,56
"960","A Little Night Music",2010,"Musical",33086813,392
"961","A View From The Bridge '10",2010,"Play",10935941,81
"962","All About Me",2010,"Musical",1354494,20
"963","American Idiot",2010,"Musical",26057287,285
"964","Billy Elliot: The Musical",2010,"Musical",57374879,415
"965","Bloody Bloody Andrew Jackson",2010,"Musical",4931720,86
"966","Brief Encounter",2010,"Play",4799198,103
"967","Burn The Floor",2010,"Musical",1158519,16
"968","Bye Bye Birdie",2010,"Musical",2244637,32
"969","Chicago",2010,"Musical",26237031,415
"970","Colin Quinn: Long Story Short",2010,"Play",1243285,55
"971","Collected Stories",2010,"Play",1348639,54
"972","Come Fly Away",2010,"Musical",18368158,188
"973","Donny & Marie: A Broadway Christmas",2010,"Special",2411477,17
"974","Driving Miss Daisy",2010,"Play",7549577,70
"975","Elf",2010,"Musical",8990924,50
"976","Elling",2010,"Play",686837,9
"977","Enron",2010,"Play",1489074,16
"978","Everyday Rapture",2010,"Musical",2358299,85
"979","Fela!",2010,"Musical",27110350,416
"980","Fences '10",2010,"Play",12908907,88
"981","Finian'S Rainbow",2010,"Musical",2077995,24
"982","God Of Carnage",2010,"Play",8055367,184
"983","Hair",2010,"Musical",13819439,208
"984","Harry Connick, Jr. '10",2010,"Special",2620770,15
"985","In The Heights",2010,"Musical",30318416,416
"986","In The Next Room Or The Vibrator Play",2010,"Play",549049,16
"987","Irving Berlin'S White Christmas '09",2010,"Musical",759048,7
"988","Jersey Boys",2010,"Musical",55578060,414
"989","La Bete '10",2010,"Play",3738636,84
"990","La Cage Aux Folles '10",2010,"Musical",21461285,288
"991","Lend Me A Tenor '10",2010,"Play",8249462,153
"992","Lombardi",2010,"Play",3476686,76
"993","Looped",2010,"Play",1262525,33
"994","Mamma Mia!",2010,"Musical",43078956,415
"995","Mary Poppins",2010,"Musical",45482824,416
"996","Memphis",2010,"Musical",38996763,416
"997","Million Dollar Quartet",2010,"Musical",19330038,296
"998","Mrs. Warren'S Profession",2010,"Play",2917482,65
"999","Next Fall",2010,"Play",3056830,132
"1000","Next To Normal",2010,"Musical",15597924,417
"1001","Present Laughter '10",2010,"Play",3071438,69
"1002","Promises, Promises",2010,"Musical",41615357,281
"1003","Race",2010,"Play",11779786,272
"1004","Ragtime '09",2010,"Musical",1334882,15
"1005","Rain: A Tribute To The Beatles On Broadway",2010,"Musical",6179225,71
"1006","Red",2010,"Play",6835696,101
"1007","Rock Of Ages",2010,"Musical",25998686,416
"1008","Shrek The Musical",2010,"Musical",1387182,8
"1009","Sondheim On Sondheim",2010,"Musical",5352642,76
"1010","South Pacific",2010,"Musical",19112884,271
"1011","Spider-Man Turn Off The Dark",2010,"Musical",4012015,0
"1012","Superior Donuts",2010,"Play",303165,8
"1013","The 39 Steps",2010,"Play",496442,16
"1014","The Addams Family",2010,"Musical",48030985,300
"1015","The Importance Of Being Earnest",2010,"Play",234644,0
"1016","The Lion King",2010,"Musical",73828966,416
"1017","The Merchant Of Venice '10",2010,"Play",9720065,38
"1018","The Miracle Worker",2010,"Play",1687067,38
"1019","The Pee-Wee Herman Show",2010,"Play",5303114,53
"1020","The Phantom Of The Opera",2010,"Musical",42237079,416
"1021","The Pitmen Painters",2010,"Play",2531130,86
"1022","The Scottsboro Boys",2010,"Musical",2750411,49
"1023","Time Stands Still",2010,"Play",8380986,153
"1024","West Side Story",2010,"Musical",40907099,416
"1025","Wicked",2010,"Musical",82893687,416
"1026","Wishful Drinking",2010,"Play",1030731,21
"1027","Women On The Verge Of A Nervous Breakdown",2010,"Musical",4442395,61
"1028","A Free Man Of Color",2011,"Play",286415,8
"1029","A Little Night Music",2011,"Musical",1365408,16
"1030","American Idiot",2011,"Musical",13740765,137
"1031","An Evening With Patti Lupone And Mandy Patinkin",2011,"Special",2366234,36
"1032","Anything Goes '11",2011,"Musical",30852059,296
"1033","Arcadia '11",2011,"Play",4881785,108
"1034","Baby It'S You!",2011,"Musical",9111694,148
"1035","Bengal Tiger At The Bagdhad Zoo",2011,"Play",7889821,108
"1036","Billy Elliot: The Musical",2011,"Musical",43286735,412
"1037","Bloody Bloody Andrew Jackson",2011,"Musical",697839,8
"1038","Bonnie And Clyde",2011,"Musical",2751166,28
"1039","Born Yesterday '11",2011,"Play",2792677,73
"1040","Brief Encounter",2011,"Play",411174,8
"1041","Catch Me If You Can",2011,"Musical",16863570,166
"1042","Chicago",2011,"Musical",27787471,412
"1043","Chinglish",2011,"Play",2896266,68
"1044","Colin Quinn: Long Story Short",2011,"Play",1832377,80
"1045","Donny & Marie: A Broadway Christmas",2011,"Special",431986,3
"1046","Driving Miss Daisy",2011,"Play",6037050,110
"1047","Elf",2011,"Musical",1344993,7
"1048","Fela!",2011,"Musical",997714,9
"1049","Follies '11",2011,"Musical",16215292,120
"1050","Ghetto Klown",2011,"Play",6179540,95
"1051","Godspell",2011,"Musical",3541401,55
"1052","Good People",2011,"Play",5925428,101
"1053","Hair '11",2011,"Musical",3453758,67
"1054","High",2011,"Play",449955,7
"1055","How To Succeed In Business Without Really Trying '11",2011,"Musical",42863016,305
"1056","Hugh Jackman, Back On Broadway",2011,"Special",12578028,52
"1057","In The Heights",2011,"Musical",2134178,16
"1058","Jersey Boys",2011,"Musical",51995523,413
"1059","Jerusalem",2011,"Play",8004618,141
"1060","Kathy Griffin Wants A Tony",2011,"Special",1021880,10
"1061","La Bete '10",2011,"Play",644222,17
"1062","La Cage Aux Folles '10",2011,"Musical",7596528,145
"1063","Lombardi",2011,"Play",5836705,168
"1064","Lysistrata Jones",2011,"Musical",809896,13
"1065","Mamma Mia!",2011,"Musical",40153800,415
"1066","Man And Boy",2011,"Play",3095607,57
"1067","Mary Poppins",2011,"Musical",45349901,411
"1068","Master Class '11",2011,"Play",3244777,67
"1069","Memphis",2011,"Musical",37991369,412
"1070","Million Dollar Quartet",2011,"Musical",9255158,193
"1071","Next To Normal",2011,"Musical",1440448,24
"1072","On A Clear Day You Can See Forever",2011,"Musical",4135166,16
"1073","Other Desert Cities",2011,"Play",5357158,61
"1074","Porgy And Bess '11",2011,"Musical",964604,0
"1075","Priscilla Queen Of The Desert",2011,"Musical",32972666,317
"1076","Private Lives '11",2011,"Play",2328466,44
"1077","Promises, Promises",2011,"Musical",1336579,8
"1078","Rain: A Tribute To The Beatles On Broadway",2011,"Musical",11835209,229
"1079","Relatively Speaking",2011,"Play",8249366,76
"1080","Rock Of Ages",2011,"Musical",15193658,330
"1081","Seminar",2011,"Play",3127098,40
"1082","Sister Act",2011,"Musical",28265017,280
"1083","Spider-Man Turn Off The Dark",2011,"Musical",70887787,220
"1084","Stick Fly",2011,"Play",1526577,21
"1085","That Championship Season",2011,"Play",8443019,97
"1086","The Addams Family",2011,"Musical",37189988,414
"1087","The Book Of Mormon",2011,"Musical",51130154,313
"1088","The House Of Blue Leaves '11",2011,"Play",5707721,72
"1089","The Importance Of Being Earnest",2011,"Play",7778281,189
"1090","The Lion King",2011,"Musical",83355347,413
