"Show.Name","Date.Year","Show.Type","Total.Gross","Number.Performances"
"127","Present Laughter",1997,"Play",2664493,128
"128","Proposals",1997,"Play",1871439,61
"129","Ragtime",1997,"Musical",455674,0
"130","Rent",1997,"Musical",28653737,416
"131","Show Boat",1997,"Musical",723344,8
"132","Side Show",1997,"Musical",3876756,83
"133","Smokey Joe'S Cafe",1997,"Musical",18620861,416
"134","Stanley",1997,"Play",1197565,77
"135","Steel Pier",1997,"Musical",5587523,76
"136","Street Corner Symphony",1997,"Musical",674396,38
"137","Sunset Boulevard",1997,"Musical",5501793,96
"138","The Capeman",1997,"Musical",2211100,0
"139","The Cherry Orchard",1997,"Play",800000,12
"140","The Diary Of Anne Frank",1997,"Play",1382904,29
"141","The Gin Game",1997,"Play",2260537,145
"142","The King And I 96",1997,"Musical",22868223,416
"143","The Last Night Of Ballyhoo",1997,"Play",7965570,348
"144","The Life",1997,"Musical",12700816,282
"145","The Lion King",1997,"Musical",8254191,54
"146","The Little Foxes",1997,"Play",1759936,57
"147","The Old Neighborhood",1997,"Play",1369699,45
"148","The Phantom Of The Opera",1997,"Musical",36658740,416
"149","The Rehearsal",1997,"Play",185522,13
"150","The Scarlet Pimpernel",1997,"Musical",6016770,57
"151","The Sunshine Boys",1997,"Play",779330,24
"152","The Young Man From Atlanta",1997,"Play",1340187,84
"153","Three Sisters",1997,"Play",1708904,61
"154","Titanic",1997,"Musical",23914182,284
"155","Triumph Of Love",1997,"Musical",3429354,77
"156","Victor/Victoria",1997,"Musical",15965717,240
"157","1776",1998,"Musical",8166043,184
"158","A Funny Thing Happened On The Way To The Forum",1998,"Musical",428654,8
"159","A Mom'S Life",1998,"Special",11623,3
"160","A View From The Bridge",1998,"Play",5826186,222
"161","Ah, Wilderness",1998,"Play",1721052,54
"162","An Evening With Jerry Herman",1998,"Musical",365391,28
"163","Art",1998,"Play",16005243,345
"164","Aznavour",1998,"Special",1331285,23
"165","Beauty And The Beast",1998,"Musical",32106158,416
"166","Bring In Da Noise, Bring In Da Funk",1998,"Musical",16920354,416
"167","Cabaret 98",1998,"Musical",10968410,284
"168","Cats",1998,"Musical",21060010,416
"169","Chicago",1998,"Musical",34519952,416
"170","Colin Quinn - An Irish Wake",1998,"Play",241753,22
"171","Electra",1998,"Play",1412313,29
"172","Fool Moon '98",1998,"Special",1301428,41
"173","Footloose",1998,"Musical",5478312,76
"174","Forever Tango '97",1998,"Special",6408478,238
"175","Fosse",1998,"Musical",240868,0
"176","Freak",1998,"Play",5283095,144
"177","Getting And Spending",1998,"Play",484281,41
"178","Golden Child",1998,"Play",828439,69
"179","Grease",1998,"Musical",1633648,33
"180","High Society",1998,"Musical",7317557,144
"181","Honour",1998,"Play",1132819,57
"182","I'M Still Here...Damn It!",1998,"Play",1042059,45
"183","Ivanov",1998,"Play",362244,8
"184","Jackie: An American Life",1998,"Play",1056768,72
"185","Jekyll & Hyde",1998,"Musical",21874968,416
"186","Jerry Seinfeld",1998,"Special",774652,10
"187","Les Miserables",1998,"Musical",25508299,416
"188","Little Me",1998,"Musical",2073150,51
"189","Mandy Patinkin In Concert: Mamaloshen",1998,"Special",726465,28
"190","Miss Saigon",1998,"Musical",24113169,416
"191","More To Love: A Big Fat Comedy",1998,"Play",247279,5
"192","On The Town",1998,"Musical",4104811,45
"193","Parade",1998,"Musical",1989687,13
"194","Patti Labelle On Broadway",1998,"Special",989597,12
"195","Peter Pan 98",1998,"Musical",3587669,40
"196","Proposals",1998,"Play",300757,16
"197","Ragtime",1998,"Musical",44253765,393
"198","Rent",1998,"Musical",27761691,416
"199","Side Man",1998,"Play",3703194,165
"200","Side Show",1998,"Musical",438527,8
"201","Smokey Joe'S Cafe",1998,"Musical",16703346,416
"202","Street Corner Symphony",1998,"Musical",415614,41
"203","Swan Lake",1998,"Musical",5418246,92
"204","The Beauty Queen Of Leenane",1998,"Play",10357746,277
"205","The Blue Room",1998,"Play",1145660,13
"206","The Capeman",1998,"Musical",5827302,68
